A;B;C
09.08.19;1.119800000;0.893016610
12.08.19;1.119400000;0.893335716
13.08.19;1.122200000;0.891106755
14.08.19;1.118800000;0.893814802
15.08.19;1.115000000;0.896860987
16.08.19;1.107600000;0.902853016
19.08.19;1.110300000;0.900657480
20.08.19;1.107600000;0.902853016
21.08.19;1.110400000;0.900576369
22.08.19;1.108300000;0.902282775
23.08.19;1.106500000;0.903750565
26.08.19;1.111600000;0.899604174
27.08.19;1.110400000;0.900576369
28.08.19;1.108300000;0.902282775
29.08.19;1.107200000;0.903179191
30.08.19;1.103600000;0.906125408
02.09.19;1.096800000;0.911743253
03.09.19;1.093700000;0.914327512
04.09.19;1.101800000;0.907605736
05.09.19;1.105800000;0.904322662
06.09.19;1.102700000;0.906864968
09.09.19;1.103300000;0.906371794
10.09.19;1.104000000;0.905797101
11.09.19;1.100300000;0.908843043
12.09.19;1.096300000;0.912159081
13.09.19;1.109600000;0.901225667
16.09.19;1.103100000;0.906536125
17.09.19;1.102600000;0.906947216
18.09.19;1.105300000;0.904731747
19.09.19;1.106700000;0.903587241
20.09.19;1.103000000;0.906618314
23.09.19;1.098500000;0.910332271
24.09.19;1.100300000;0.908843043
25.09.19;1.098200000;0.910580951
26.09.19;1.093800000;0.914243920
27.09.19;1.093500000;0.914494742
30.09.19;1.088900000;0.918357976
01.10.19;1.089800000;0.917599560
02.10.19;1.092500000;0.915331808
03.10.19;1.095100000;0.913158616
04.10.19;1.097900000;0.910829766
07.10.19;1.099300000;0.909669790
08.10.19;1.098600000;0.910249408
09.10.19;1.098100000;0.910663874
10.10.19;1.103000000;0.906618314
11.10.19;1.104300000;0.905551028
14.10.19;1.103100000;0.906536125
15.10.19;1.100700000;0.908512765
16.10.19;1.102500000;0.907029478
17.10.19;1.111300000;0.899847026
18.10.19;1.114400000;0.897343862
21.10.19;1.117300000;0.895014768
22.10.19;1.113000000;0.898472597
23.10.19;1.112300000;0.899038029
24.10.19;1.112800000;0.898634076
25.10.19;1.110700000;0.900333123
28.10.19;1.108700000;0.901957247
29.10.19;1.109500000;0.901306895
30.10.19;1.110600000;0.900414191
31.10.19;1.115400000;0.896539358
01.11.19;1.113900000;0.897746656
04.11.19;1.115800000;0.896217960
05.11.19;1.110900000;0.900171032
06.11.19;1.109000000;0.901713255
07.11.19;1.107700000;0.902771509
08.11.19;1.103400000;0.906289650
11.11.19;1.104100000;0.905715062
12.11.19;1.101500000;0.907852928
13.11.19;1.100600000;0.908595312
14.11.19;1.099700000;0.909338911
15.11.19;1.103400000;0.906289650
18.11.19;1.106100000;0.904077389
19.11.19;1.107700000;0.902771509
20.11.19;1.105900000;0.904240890
21.11.19;1.109100000;0.901631954
22.11.19;1.105800000;0.904322662
25.11.19;1.100800000;0.908430233
26.11.19;1.102000000;0.907441016
